name,tradingsymbol
TVS MOTOR COMPANY ,TVSMOTOR
TVS SUPPLY CHAIN SOL L,TVSSCS
TVS SRICHAKRA,TVSSRICHAK
TV TODAY NETWORK,TVTODAY
TV VISION,TVVISION
UNITED BREWERIES,UBL
UCAL,UCAL
UCO BANK,UCOBANK
UPDATER SERVICES,UDS
UNITED FOODBRANDS,UFBL
UFLEX,UFLEX
UFO MOVIEZ INDIA,UFO
THE UGAR SUGAR WORKS,UGARSUGAR
UGRO CAPITAL,UGROCAP
UJJIVAN SMALL FINANC BANK,UJJIVANSFB
ULTRATECH CEMENT,ULTRACEMCO
UMA EXPORTS,UMAEXPORTS
USHA MARTIN EDU & SOL,UMESLTD
UNICHEM LABORATORIES,UNICHEMLAB
UNITED DRILLING TOOLS,UNIDT
UNICOMMERCE ESOLUTIONS L,UNIECOM
UNIPHOS ENTERPRISES,UNIENTER
UNIINFO TELECOM SERVI,UNIINFO
UNIMECH AEROSPACE N MFG L,UNIMECH
UNION BANK OF INDIA,UNIONBANK
UNIONAMC - UNIONGOLD,UNIONGOLD
UNIPARTS INDIA,UNIPARTS
UNITED SPIRITS,UNITDSPR
UNITECH,UNITECH
UNITED NILGIRI TEA,UNITEDTEA
UNIVASTU INDIA,UNIVASTU
UNIVERSAL CABLES,UNIVCABLES
UNIVERSUS IMAGINGS,UNIVPHOTO
UNO MINDA,UNOMINDA
UPL,UPL
URAVI DEFENCE &TECH,URAVIDEF
URBAN COMPANY,URBANCO
URJA GLOBAL,URJA
USHA MARTIN,USHAMART
UDAYSHIVAKUMAR INFRA,USK
UTI ASSET MNGMT CO,UTIAMC
UTIAMC - UTINEXT50,UTINEXT50
UTIAMC - UTISXN50,UTISXN50
UTKARSH SMALL FIN BANK L,UTKARSHBNK
UTTAM SUGAR MILLS,UTTAMSUGAR
U. Y. FINCORP,UYFINCORP
V2 RETAIL,V2RETAIL
VADILAL INDUSTRIES,VADILALIND
VAIBHAV GLOBAL,VAIBHAVGBL
VAISHALI PHARMA,VAISHALI
VAKRANGEE,VAKRANGEE
VALIANT LABORATORIES,VALIANTLAB
VARDHAMAN ACRYLICS,VARDHACRLC
VARDHMAN POLYTEX,VARDMNPOLY
VARROC ENGINEERING,VARROC
VASCON ENGINEERS,VASCONEQ
VASWANI IND,VASWANI
VARUN BEVERAGES,VBL
VAXTEX COTFAB,VCL
VEDANTA,VEDL
VEEDOL CORPORATION,VEEDOL
VENKY S (INDIA),VENKEYS
VENTIVE HOSPITALITY,VENTIVE
VENUS PIPES & TUBES,VENUSPIPES
VENUS REMEDIES,VENUSREM
VERANDA LEARNING SOL,VERANDA
VERTOZ,VERTOZ
VESUVIUS INDIA,VESUVIUS
VETO SWITCHGEAR CABLE,VETO
V-GUARD IND,VGUARD
VARDHMAN HOLDINGS,VHL
VIDHI SPCLTY F INGRDNTS L,VIDHIING
VIJAYA DIAGNOSTIC CEN,VIJAYA
VIKAS ECOTECH,VIKASECO
VIKAS LIFECARE,VIKASLIFE
VIKRAM SOLAR,VIKRAMSOLR
VIKRAN ENGINEERING,VIKRAN
VIMTA LABS,VIMTALABS
VINATI ORGANICS,VINATIORGA
VINTAGE COFFEE N BVRGS L,VINCOFE
VINDHYA TELELINKS,VINDHYATEL
VINEET LABORATORIES,VINEETLAB
VINNY OVERSEAS,VINNY
VINYL CHEMICALS (I),VINYLINDIA
VIP CLOTHING,VIPCLOTHNG
VIP INDUSTRIES,VIPIND
VIPUL,VIPULLTD
VISAKA INDUSTRIES,VISAKAIND
VISHNU CHEMICALS,VISHNU
VISHWARAJ SUGAR IND,VISHWARAJ
VISAGAR POLYTEX,VIVIDHA
VL E GOV AND IT SOL,VLEGOV
VLS FINANCE,VLSFINANCE
VMART RETAIL,VMART
VISHAL MEGA MART,VMM
VMS TMT,VMSTMT
VOLTAMP TRANSFORMERS,VOLTAMP
VOLTAS,VOLTAS
VISHNU PRAKASH R PUNGLI L,VPRPL
VRAJ IRON AND STEEL,VRAJ
VRL LOGISTICS,VRLLOG
VARDHMAN SPC STEEL,VSSL
VST INDUSTRIES,VSTIND
VIBHOR STEEL TUBES,VSTL
VST TILLERS TRACTORS,VSTTILLERS
VARDHMAN TEXTILES,VTL
WAAREE ENERGIES,WAAREEENER
WAAREE RENEWABLE TECH,WAAREERTL
VA TECH WABAG,WABAG
WALCHANDNAGAR INDUSTRIES,WALCHANNAG
WANBURY,WANBURY
WESTERN CARRIERS (IND) L,WCIL
WEALTH FRST PORT. MG.,WEALTH
WEBSOL ENERGY SYSTEM,WEBELSOLAR
WEIZMANN,WEIZMANIND
WONDER ELECTRICALS,WEL
WELSPUN CORP,WELCORP
WELSPUN ENTERPRISES,WELENT
WELSPUN LIVING,WELSPUNLIV
WENDT (INDIA),WENDT
WESTLIFE FOODWORLD,WESTLIFE
WEWORK INDIA MANAGEMENT L,WEWORK
WHEELS INDIA,WHEELS
WHIRLPOOL OF INDIA,WHIRLPOOL
WILLIAMSON MAGOR,WILLAMAGOR
WINDLAS BIOTECH,WINDLAS
WINDSOR MACHINES,WINDMACHIN
THE WESTERN INDIA PLY,WIPL
WIPRO,WIPRO
WOCKHARDT,WOCKPHARMA
WONDERLA HOLIDAYS,WONDERLA
WORTH PERIPHERALS,WORTHPERI
W.S.INDUSTRIES (I),WSI
WEST COAST PAPER MILLS LT,WSTCSTPAPR
XCHANGING SOLUTIONS,XCHANGING
XELPMOC DESIGN & TECH,XELPMOC
XPRO INDIA,XPROINDIA
XTGLOBAL INFOTECH,XTGLOBAL
YASHO INDUSTRIES,YASHO
YATHARTH HOSP & TRA C S L,YATHARTH
YATRA ONLINE,YATRA
YES BANK,YESBANK
YUKEN INDIA,YUKEN
ZAGGLE PREPA OCEAN SER L,ZAGGLE
ZEE ENTERTAINMENT ENT,ZEEL
ZEE LEARN,ZEELEARN
ZEE MEDIA CORPORATION,ZEEMEDIA
ZENITH EXPORTS,ZENITHEXPO
ZENSAR TECHNOLOGIES ,ZENSARTECH
ZEN TECHNOLOGIES,ZENTEC
ZF COM VE CTR SYS IND,ZFCVINDIA
ZIM LABORATORIES,ZIMLAB
ZODIAC ENERGY,ZODIAC
ZODIAC CLOTHING CO.,ZODIACLOTH
ZOTA HEALTH CARE,ZOTA
ZUARI AGRO CHEMICALS,ZUARI
ZUARI INDUSTRIES,ZUARIIND
ZYDUS LIFESCIENCES,ZYDUSLIFE
ZYDUS WELLNESS,ZYDUSWELL
